"id","title","description","availability","inventory","condition","price","sale_price","link","image_link","gtin","is_bundle","age_group","google_product_category"
"6627602890842","Grizzly Bear - Shields: B-Sides","Shields: B-Sides is a compilation of songs from the original Shields Marfa recording session and also bonus material. We have it on Opaque Cream vinyl.","in stock",208,"new","38.00 USD","","https://www.vinylmeplease.com/products/grizzly-bear-shields-b-sides-2021","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/shields_b_sides.jpg?v=1632259751","801061722913","no","adult","543523"
"1907823968346","Mannie Fresh - The Mind of Mannie Fresh","First vinyl reissue of the solo debut from Cash Money super producer Mannie Fresh, now on cream vinyl.","in stock",216,"new","33.00 USD","29.00 USD","https://www.vinylmeplease.com/products/mannie-fresh-the-mind-of-mannie-fresh","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/mind_of_mannie_fresh_vinyl_store__2.jpg?v=1564072896","810143931501","no","adult","543523"
"6688824557658","Bartees Strange - Farm to Table","Bartees Strange's debut album on 4AD is available on Transparent Green vinyl.","in stock",436,"new","40.00 USD","","https://www.vinylmeplease.com/products/bartees-strange-farm-to-table","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/farm_to_table_store.jpg?v=1650565672","191400048881","no","adult","543523"
"4704336019546","Kevin Morby - Sundowner","Sundowner, the 6th LP from VMP fave—and VMP Essentials artist—Kevin Morby is here on exclusive lavender swirl vinyl.","in stock",49,"new","33.00 USD","","https://www.vinylmeplease.com/products/kevin-morby-sundowner","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/sundowner_880.jpg?v=1598974244","656605153179","no","adult","543523"
"6621407346778","Richard Thompson - Music from Grizzly Man","The original soundtrack from the documentary Grizzly Man is available on Smoke vinyl.","in stock",458,"new","37.00 USD","","https://www.vinylmeplease.com/products/richard-thompson-grizzly-man-soundtrack","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/music_from_grizzly_man_store.jpg?v=1647366425","843563148594","no","adult","543523"
"6743239032922","Wayne Shorter, Terri Lyne Carrington, Leo Genovese, esperanza spalding - Live at Detroit Jazz Festival","Wayne Shorter, Terri Lyne Carrington, Leo Genovese and Esperanza Spalding's performance at the Detroit Jazz Festival in 2017 is here on Opaque Metallic Gold vinyl.","in stock",274,"new","50.00 USD","","https://www.vinylmeplease.com/products/live-at-detroit-jazz-festival","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/live_at_the_detroit_jazz_festival_store.jpg?v=1657644761","708857313013","no","adult","543523"
"6701344391258","Charlie Gabriel - Eighty Nine","Charlie Gabriel's newest jazz album, Eighty Nine, is available on Clear Purple vinyl.","in stock",39,"new","36.00 USD","","https://www.vinylmeplease.com/products/charlie-gabriel-89","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/eighty_nine_store.jpg?v=1650381040","810143932720","no","adult","543523"
"6764063883354","Georgia Anne Muldrow - Seeds","Georgia Anne Muldrow's Seeds is available on exclusive Opaque Lemon vinyl.","in stock",54,"new","40.00 USD","","https://www.vinylmeplease.com/products/georgia-anne-muldrow-seeds","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/seeds_store.jpg?v=1670960415","810101000218","no","adult","543523"
"6757079318618","The New Pornographers - Continue as a Guest","Continue as a Guest, the latest release from Canadian indie rock band The New Pornographers, is available on exclusive White & Blue A-Side/B-Side vinyl.","in stock",223,"new","41.00 USD","","https://www.vinylmeplease.com/products/the-new-pornographers-continue-as-a-guest","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/NEWcontinue_as_a_guest_vinyl_store_1.jpg?v=1673455238","673855080901","no","adult","543523"
"6682424115290","Clem Snide - The Ghost Of Fashion","The third album from indie band Clem Snide, The Ghost Of Fashion, is available on exclusive Red vinyl.","in stock",52,"new","49.00 USD","","https://www.vinylmeplease.com/products/clem-snide-ghost-of-fashion","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/the_ghost_of_fashion_store.jpg?v=1664310826","810143932706","no","adult","543523"
"4704335986778","Gabriel Garzón-Montano - Agüita","Agüita , the sophomore album from multi-instrumentalist Gabriel Garzón-Montano is here on red vinyl.","in stock",42,"new","35.00 USD","31.00 USD","https://www.vinylmeplease.com/products/gabriel-garzon-montano-aguita","https://cdn.shopify.com/s/files/1/0069/3465/9162/products/aguita_30002938.jpg?v=1594663728","656605236803","no","adult","543523"
